model,T1_accuracy,T1_macro_F1,progression_recall,progression_missed,progression_n,progression_to_stable,CCM_rate,CCM_CI_low,CCM_CI_high,metastasis_missed,metastasis_n,parse_failures,parse_failure_rate
gpt-5.4,0.73875,0.6382826063816731,0.6442307692307693,37,104,17,0.16346153846153846,0.10463536095349271,0.24626362756642686,13,22,0,0.0
Gemini-3.5,0.7275,0.6210065059598312,0.6730769230769231,34,104,15,0.14423076923076922,0.08939607699457373,0.22441142515505547,9,22,1,0.00125
Baichuan-M3,0.66625,0.5530870546249593,0.7115384615384616,30,104,14,0.1346153846153846,0.08191117076579206,0.21335058819869201,11,22,0,0.0
Nemotron-3,0.70625,0.5976659458045369,0.6730769230769231,34,104,14,0.1346153846153846,0.08191117076579206,0.21335058819869201,12,22,0,0.0
Qwen3.5-397B,0.6725,0.5864451660386784,0.5961538461538461,42,104,12,0.11538461538461539,0.06724977629813572,0.19092049629605806,13,22,41,0.05125
DiffusionGemma,0.77625,0.6584694451035982,0.7115384615384616,30,104,19,0.18269230769230768,0.12019423299439573,0.26779624189581414,10,22,5,0.00625
Step-3.7,0.67125,0.5525436248908652,0.5096153846153846,51,104,13,0.125,0.07452602523780914,0.2021899905415298,12,22,0,0.0
DeepSeek-V4,0.6575,0.5780071129173576,0.5961538461538461,42,104,11,0.10576923076923077,0.06009334538596818,0.17953118402308044,12,22,78,0.0975
Minimax-M2.7,0.665,0.5611547370131061,0.6538461538461539,36,104,12,0.11538461538461539,0.06724977629813572,0.19092049629605806,12,22,31,0.03875
MedSeek,0.75,0.6573793521059232,0.7307692307692307,28,104,16,0.15384615384615385,0.09697301114953089,0.23538023418524356,11,22,0,0.0
HuatuoGPT,0.7425,0.5920407173357651,0.7019230769230769,31,104,16,0.15384615384615385,0.09697301114953089,0.23538023418524356,11,22,0,0.0
AntAngelMed,0.7125,0.5848384797322436,0.6057692307692307,41,104,17,0.16346153846153846,0.10463536095349271,0.24626362756642686,11,22,5,0.00625
MediPhi,0.65,0.5262525692327662,0.6923076923076923,32,104,12,0.11538461538461539,0.06724977629813572,0.19092049629605806,10,22,0,0.0
MediX,0.6725,0.5690865706777904,0.7307692307692307,28,104,12,0.11538461538461539,0.06724977629813572,0.19092049629605806,9,22,5,0.00625
QwQ-Med-3,0.6375,0.5513807863782965,0.6538461538461539,36,104,13,0.125,0.07452602523780914,0.2021899905415298,11,22,19,0.02375
