Rank,Model,Source,T1_Acc,T1_macroF1,T3_Exact,T3_T,T3_N,T3_M,T4_ROUGE-L,T4_chrF1,MetMiss,FatalErr
1,DiffusionGemma,baseline,0.7762,0.5268,0.1972,0.3474,0.4466,0.3781,0.4077,0.5053,0.2727,0.0238
2,medseek,custom,0.75,0.6574,0.2582,0.4038,0.5728,0.6667,0.3354,0.4909,0.4091,0.02
3,huatuogpt,custom,0.7425,0.4736,0.1268,0.3756,0.4175,0.4876,0.2343,0.3726,0.3182,0.02
4,gpt-5.4,baseline,0.7388,0.5106,0.2488,0.3709,0.699,0.796,0.2978,0.4011,0.0909,0.0213
5,Gemini-3.5,baseline,0.7275,0.4968,0.1221,0.216,0.466,0.5224,0.3375,0.4368,0.1818,0.0187
6,antangelmed,custom,0.7125,0.4678,0.1502,0.3286,0.4223,0.3831,0.2521,0.395,0.1364,0.0213
7,Nemotron-3,baseline,0.7063,0.4781,0.1362,0.338,0.6408,0.4876,0.2564,0.3637,0.1364,0.0175
8,medix,custom,0.6725,0.4553,0.1408,0.4319,0.3204,0.2289,0.3411,0.4967,0.2273,0.015
9,Qwen3.5,baseline,0.6725,0.4691,0.061,0.2629,0.2233,0.1443,0.3589,0.4583,0.0909,0.015
10,Step-3.7,baseline,0.6713,0.5525,0.216,0.3615,0.5631,0.6866,0.3226,0.4305,0.0,0.0163
11,Baichuan-M3,baseline,0.6663,0.5531,0.1643,0.3756,0.5437,0.4627,0.352,0.4436,0.0909,0.0175
12,Minimax,baseline,0.665,0.4489,0.169,0.3474,0.5049,0.5821,0.2928,0.4011,0.2727,0.015
13,DeepSeek-V4,baseline,0.6575,0.4624,0.1878,0.3239,0.5097,0.5274,0.4358,0.5155,0.1364,0.0138
14,mediphi,custom,0.65,0.421,0.0047,0.0047,0.0485,0.01,0.1886,0.3123,0.1364,0.015
15,qwq-med-3,custom,0.6375,0.4411,0.0939,0.2207,0.4126,0.4677,0.0904,0.1514,0.1818,0.0163
