Model,Class,Precision,Recall,F1,Support
DiffusionGemma,stable,0.9015,0.8159,0.8566,527
DiffusionGemma,regression,0.6023,0.7413,0.6646,143
DiffusionGemma,progression,0.6379,0.7115,0.6727,104
DiffusionGemma,mixed,0.4583,0.4231,0.44,26
DiffusionGemma,indeterminate,0.0,0,0,0
medseek,stable,0.8879,0.7818,0.8315,527
medseek,regression,0.5607,0.6783,0.6139,143
medseek,progression,0.5672,0.7308,0.6387,104
medseek,mixed,0.5172,0.5769,0.5455,26
medseek,indeterminate,,,,
huatuogpt,stable,0.9077,0.7647,0.8301,527
huatuogpt,regression,0.5283,0.7832,0.631,143
huatuogpt,progression,0.6083,0.7019,0.6518,104
huatuogpt,mixed,0.2857,0.2308,0.2553,26
huatuogpt,indeterminate,0.0,0,0,0
gpt-5.4,stable,0.9197,0.7609,0.8328,527
gpt-5.4,regression,0.6131,0.7203,0.6624,143
gpt-5.4,progression,0.7528,0.6442,0.6943,104
gpt-5.4,mixed,0.2381,0.7692,0.3636,26
gpt-5.4,indeterminate,0.0,0,0,0
Gemini-3.5,stable,0.9157,0.7419,0.8197,527
Gemini-3.5,regression,0.5274,0.7413,0.6163,143
Gemini-3.5,progression,0.5738,0.6731,0.6195,104
Gemini-3.5,mixed,0.3409,0.5769,0.4286,26
Gemini-3.5,indeterminate,0.0,0,0,0
antangelmed,stable,0.8577,0.7894,0.8221,527
antangelmed,regression,0.6574,0.4965,0.5657,143
antangelmed,progression,0.5833,0.6058,0.5943,104
antangelmed,mixed,0.2326,0.7692,0.3571,26
antangelmed,indeterminate,0.0,0,0,0
Nemotron-3,stable,0.9256,0.7078,0.8022,527
Nemotron-3,regression,0.5561,0.7273,0.6303,143
Nemotron-3,progression,0.5556,0.6731,0.6087,104
Nemotron-3,mixed,0.2338,0.6923,0.3495,26
Nemotron-3,indeterminate,0.0,0,0,0
medix,stable,0.9081,0.6565,0.7621,527
medix,regression,0.5024,0.7203,0.592,143
medix,progression,0.4872,0.7308,0.5846,104
medix,mixed,0.2549,0.5,0.3377,26
medix,indeterminate,0.0,0,0,0
Qwen3.5,stable,0.9327,0.7097,0.806,527
Qwen3.5,regression,0.7,0.5874,0.6388,143
Qwen3.5,progression,0.7126,0.5962,0.6492,104
Qwen3.5,mixed,0.1538,0.6923,0.2517,26
Qwen3.5,indeterminate,0.0,0,0,0
Step-3.7,stable,0.9284,0.6888,0.7908,527
Step-3.7,regression,0.6289,0.6993,0.6623,143
Step-3.7,progression,0.5248,0.5096,0.5171,104
Step-3.7,mixed,0.1409,0.8077,0.24,26
Step-3.7,indeterminate,,,,
Baichuan-M3,stable,0.8939,0.6717,0.7671,527
Baichuan-M3,regression,0.5205,0.6224,0.5669,143
Baichuan-M3,progression,0.4805,0.7115,0.5736,104
Baichuan-M3,mixed,0.2025,0.6154,0.3048,26
Baichuan-M3,indeterminate,,,,
Minimax,stable,0.9217,0.6698,0.7758,527
Minimax,regression,0.564,0.6783,0.6159,143
Minimax,progression,0.5271,0.6538,0.5837,104
Minimax,mixed,0.1795,0.5385,0.2692,26
Minimax,indeterminate,0.0,0,0,0
DeepSeek-V4,stable,0.9195,0.6717,0.7763,527
DeepSeek-V4,regression,0.6597,0.6643,0.662,143
DeepSeek-V4,progression,0.5124,0.5962,0.5511,104
DeepSeek-V4,mixed,0.2239,0.5769,0.3226,26
DeepSeek-V4,indeterminate,0.0,0,0,0
mediphi,stable,0.9061,0.6774,0.7752,527
mediphi,regression,0.713,0.5734,0.6357,143
mediphi,progression,0.5035,0.6923,0.583,104
mediphi,mixed,0.0662,0.3462,0.1111,26
mediphi,indeterminate,0.0,0,0,0
qwq-med-3,stable,0.8997,0.63,0.7411,527
qwq-med-3,regression,0.5385,0.6364,0.5833,143
qwq-med-3,progression,0.4626,0.6538,0.5418,104
qwq-med-3,mixed,0.2209,0.7308,0.3393,26
qwq-med-3,indeterminate,0.0,0,0,0
