model,TNM_exact_concordance,T_concordance,N_concordance,M_concordance,parse_failures,parse_failure_rate,T_missing_gold,N_missing_gold,M_missing_gold
gpt-5.4,0.24882629107981222,0.37089201877934275,0.676056338028169,0.7511737089201878,0,0.0,0,7,12
Gemini-3.5,0.12206572769953052,0.215962441314554,0.4507042253521127,0.49295774647887325,67,0.3145539906103286,0,7,12
Baichuan-M3,0.15492957746478872,0.3755868544600939,0.5258215962441315,0.43661971830985913,29,0.13615023474178403,0,7,12
Nemotron-3,0.13615023474178403,0.3380281690140845,0.6197183098591549,0.460093896713615,16,0.07511737089201878,0,7,12
Qwen3.5-397B,0.06103286384976526,0.26291079812206575,0.215962441314554,0.13615023474178403,77,0.3615023474178404,0,7,12
DiffusionGemma,0.18779342723004694,0.3474178403755869,0.431924882629108,0.3568075117370892,64,0.3004694835680751,0,7,12
Step-3.7,0.215962441314554,0.3615023474178404,0.5446009389671361,0.647887323943662,23,0.107981220657277,0,7,12
DeepSeek-V4,0.18309859154929578,0.323943661971831,0.49295774647887325,0.49765258215962443,50,0.2347417840375587,0,7,12
Minimax-M2.7,0.16901408450704225,0.3474178403755869,0.48826291079812206,0.5492957746478874,31,0.14553990610328638,0,7,12
MedSeek,0.25821596244131456,0.40375586854460094,0.5539906103286385,0.6291079812206573,25,0.11737089201877934,0,7,12
HuatuoGPT,0.1267605633802817,0.3755868544600939,0.40375586854460094,0.460093896713615,27,0.1267605633802817,0,7,12
AntAngelMed,0.14553990610328638,0.3286384976525822,0.4084507042253521,0.3615023474178404,60,0.28169014084507044,0,7,12
MediPhi,0.004694835680751174,0.004694835680751174,0.046948356807511735,0.009389671361502348,197,0.9248826291079812,0,7,12
MediX,0.14084507042253522,0.431924882629108,0.30985915492957744,0.215962441314554,44,0.20657276995305165,0,7,12
QwQ-Med-3,0.09389671361502347,0.22065727699530516,0.39906103286384975,0.4413145539906103,41,0.19248826291079812,0,7,12
