Model,n_scored,Exact,T_acc,N_acc,M_acc
medseek,213,0.2582,0.4038,0.5728,0.6667
gpt-5.4,213,0.2488,0.3709,0.699,0.796
Step-3.7,213,0.216,0.3615,0.5631,0.6866
DiffusionGemma,213,0.1972,0.3474,0.4466,0.3781
DeepSeek-V4,213,0.1878,0.3239,0.5097,0.5274
Minimax,213,0.169,0.3474,0.5049,0.5821
Baichuan-M3,213,0.1643,0.3756,0.5437,0.4627
antangelmed,213,0.1502,0.3286,0.4223,0.3831
medix,213,0.1408,0.4319,0.3204,0.2289
Nemotron-3,213,0.1362,0.338,0.6408,0.4876
huatuogpt,213,0.1268,0.3756,0.4175,0.4876
Gemini-3.5,213,0.1221,0.216,0.466,0.5224
qwq-med-3,213,0.0939,0.2207,0.4126,0.4677
Qwen3.5,213,0.061,0.2629,0.2233,0.1443
mediphi,213,0.0047,0.0047,0.0485,0.01
