era,n_cases,model,TNM_exact_concordance,T_concordance,N_concordance,M_concordance
2017_or_earlier_AJCC7,98,gpt-5.4,0.04081632653061224,0.08163265306122448,0.6428571428571429,0.7551020408163265
2017_or_earlier_AJCC7,98,Gemini-3.5,0.02040816326530612,0.08163265306122448,0.5204081632653061,0.5714285714285714
2017_or_earlier_AJCC7,98,Baichuan-M3,0.061224489795918366,0.1326530612244898,0.45918367346938777,0.41836734693877553
2017_or_earlier_AJCC7,98,Nemotron-3,0.061224489795918366,0.16326530612244897,0.6122448979591837,0.5
2017_or_earlier_AJCC7,98,Qwen3.5-397B,0.0,0.05102040816326531,0.061224489795918366,0.05102040816326531
2017_or_earlier_AJCC7,98,DiffusionGemma,0.02040816326530612,0.08163265306122448,0.17346938775510204,0.15306122448979592
2017_or_earlier_AJCC7,98,Step-3.7,0.061224489795918366,0.11224489795918367,0.4489795918367347,0.6428571428571429
2017_or_earlier_AJCC7,98,DeepSeek-V4,0.05102040816326531,0.11224489795918367,0.45918367346938777,0.4489795918367347
2017_or_earlier_AJCC7,98,Minimax-M2.7,0.08163265306122448,0.16326530612244897,0.46938775510204084,0.5612244897959183
2017_or_earlier_AJCC7,98,MedSeek,0.08163265306122448,0.1326530612244898,0.46938775510204084,0.5612244897959183
2017_or_earlier_AJCC7,98,HuatuoGPT,0.01020408163265306,0.1836734693877551,0.3163265306122449,0.4387755102040816
2017_or_earlier_AJCC7,98,AntAngelMed,0.05102040816326531,0.09183673469387756,0.29591836734693877,0.2755102040816326
2017_or_earlier_AJCC7,98,MediPhi,0.01020408163265306,0.01020408163265306,0.030612244897959183,0.01020408163265306
2017_or_earlier_AJCC7,98,MediX,0.02040816326530612,0.17346938775510204,0.15306122448979592,0.08163265306122448
2017_or_earlier_AJCC7,98,QwQ-Med-3,0.04081632653061224,0.15306122448979592,0.3469387755102041,0.37755102040816324
2018_or_later_AJCC8,115,gpt-5.4,0.4260869565217391,0.6173913043478261,0.7043478260869566,0.7478260869565218
2018_or_later_AJCC8,115,Gemini-3.5,0.20869565217391303,0.33043478260869563,0.391304347826087,0.4260869565217391
2018_or_later_AJCC8,115,Baichuan-M3,0.23478260869565218,0.5826086956521739,0.5826086956521739,0.45217391304347826
2018_or_later_AJCC8,115,Nemotron-3,0.2,0.48695652173913045,0.6260869565217392,0.4260869565217391
2018_or_later_AJCC8,115,Qwen3.5-397B,0.11304347826086956,0.4434782608695652,0.34782608695652173,0.20869565217391303
2018_or_later_AJCC8,115,DiffusionGemma,0.33043478260869563,0.5739130434782609,0.6521739130434783,0.5304347826086957
2018_or_later_AJCC8,115,Step-3.7,0.34782608695652173,0.5739130434782609,0.6260869565217392,0.6521739130434783
2018_or_later_AJCC8,115,DeepSeek-V4,0.2956521739130435,0.5043478260869565,0.5217391304347826,0.5391304347826087
2018_or_later_AJCC8,115,Minimax-M2.7,0.24347826086956523,0.5043478260869565,0.5043478260869565,0.5391304347826087
2018_or_later_AJCC8,115,MedSeek,0.40869565217391307,0.6347826086956522,0.6260869565217392,0.6869565217391305
2018_or_later_AJCC8,115,HuatuoGPT,0.22608695652173913,0.5391304347826087,0.4782608695652174,0.4782608695652174
2018_or_later_AJCC8,115,AntAngelMed,0.22608695652173913,0.5304347826086957,0.5043478260869565,0.43478260869565216
2018_or_later_AJCC8,115,MediPhi,0.0,0.0,0.06086956521739131,0.008695652173913044
2018_or_later_AJCC8,115,MediX,0.24347826086956523,0.6521739130434783,0.4434782608695652,0.33043478260869563
2018_or_later_AJCC8,115,QwQ-Med-3,0.1391304347826087,0.2782608695652174,0.4434782608695652,0.4956521739130435
