Model,n_scored,ROUGE-L,chrF1,chrJaccard
DeepSeek-V4,604,0.4358,0.5155,0.3572
DiffusionGemma,675,0.4077,0.5053,0.3469
Qwen3.5,648,0.3589,0.4583,0.3061
Baichuan-M3,676,0.352,0.4436,0.2924
medix,676,0.3411,0.4967,0.3411
Gemini-3.5,548,0.3375,0.4368,0.2868
medseek,675,0.3354,0.4909,0.3354
Step-3.7,676,0.3226,0.4305,0.2823
gpt-5.4,676,0.2978,0.4011,0.2576
Minimax,656,0.2928,0.4011,0.2573
Nemotron-3,654,0.2564,0.3637,0.2275
antangelmed,673,0.2521,0.395,0.2521
huatuogpt,676,0.2343,0.3726,0.2343
mediphi,660,0.1886,0.3123,0.1886
qwq-med-3,608,0.0904,0.1514,0.0904
