Model,Stable→Progression,Missed_Metastasis,FatalRate_Overall,FatalRate_AmongProg,MetMissRate,N_Progression,N_Metastasis
Step-3.7,13,0,0.0163,0.125,0.0,104,22
Baichuan-M3,14,2,0.0175,0.1346,0.0909,104,22
Qwen3.5,12,2,0.015,0.1154,0.0909,104,22
gpt-5.4,17,2,0.0213,0.1635,0.0909,104,22
mediphi,12,3,0.015,0.1154,0.1364,104,22
antangelmed,17,3,0.0213,0.1635,0.1364,104,22
Nemotron-3,14,3,0.0175,0.1346,0.1364,104,22
DeepSeek-V4,11,3,0.0138,0.1058,0.1364,104,22
qwq-med-3,13,4,0.0163,0.125,0.1818,104,22
Gemini-3.5,15,4,0.0187,0.1442,0.1818,104,22
medix,12,5,0.015,0.1154,0.2273,104,22
DiffusionGemma,19,6,0.0238,0.1827,0.2727,104,22
Minimax,12,6,0.015,0.1154,0.2727,104,22
huatuogpt,16,7,0.02,0.1538,0.3182,104,22
medseek,16,9,0.02,0.1538,0.4091,104,22
